	dataset	lang	tokenizer	vocab_size	train	token	model_type
0	en_ga	en	en_char_0.118k	118	0.0369086265563965	0.805752038955689	char
1	en_ga	ga	ga_char_0.118k	118	0.0412003993988037	1.01024961471558	char
	en_ga	en	en_unigram_0.5k	500	0.879249811172485	0.516172409057617	unigram
	en_ga	en	en_unigram_0.75k	750	0.822086572647095	0.477594375610352	unigram
	en_ga	en	en_unigram_1.5k	1500	0.74542498588562	0.565743923187256	unigram
	en_ga	en	en_unigram_3.0k	3000	0.632347583770752	0.397359609603882	unigram
	en_ga	en	en_unigram_4.0k	4000	0.577533960342407	0.499392986297607	unigram
	en_ga	en	en_unigram_6.0k	6000	0.44005274772644	0.436214447021484	unigram
	en_ga	en	en_unigram_8.0k	8000	0.458582878112793	0.483227729797363	unigram
	en_ga	ga	ga_unigram_0.5k	500	0.936496019363403	0.54106879234314	unigram
	en_ga	ga	ga_unigram_0.75k	750	0.843444347381592	0.583917617797852	unigram
	en_ga	ga	ga_unigram_1.5k	1500	0.834975957870483	0.536366701126099	unigram
	en_ga	ga	ga_unigram_3.0k	3000	0.779134035110474	0.531905174255371	unigram
	en_ga	ga	ga_unigram_4.0k	4000	0.817176580429077	0.518885374069214	unigram
	en_ga	ga	ga_unigram_6.0k	6000	0.595554113388062	0.544465303421021	unigram
	en_ga	ga	ga_unigram_8.0k	8000	0.529317378997803	0.553909540176392	unigram
	en_ga	en	en_bpe_0.5k	500	0.434456348419189	0.932243585586548	bpe
	en_ga	en	en_bpe_1.0k	1000	0.264012813568115	0.660662174224854	bpe
	en_ga	en	en_bpe_2.0k	2000	0.29067063331604	0.79497504234314	bpe
	en_ga	en	en_bpe_4.0k	4000	0.361518144607544	0.629510641098022	bpe
	en_ga	en	en_bpe_8.0k	8000	0.602829694747925	0.690132617950439	bpe
	en_ga	en	en_bpe_16.0k	16000	1.03065824508667	0.700541496276856	bpe
	en_ga	en	en_bpe_32.0k	32000	1.73845362663269	0.73598051071167	bpe
	en_ga	ga	ga_bpe_0.5k	500	0.253964424133301	0.832423448562622	bpe
	en_ga	ga	ga_bpe_1.0k	1000	0.306515455245972	0.771917343139648	bpe
	en_ga	ga	ga_bpe_2.0k	2000	0.380864143371582	0.914849758148193	bpe
	en_ga	ga	ga_bpe_4.0k	4000	0.439521789550781	0.709635257720947	bpe
	en_ga	ga	ga_bpe_8.0k	8000	0.706770658493042	0.806578159332275	bpe
	en_ga	ga	ga_bpe_16.0k	16000	1.18263411521912	0.789379596710205	bpe
	en_ga	ga	ga_bpe_32.0k	32000	1.90378499031067	0.809035301208496	bpe
	en_ga	en	en_hft_0.5k	500	2.21603655815125	1.95805859565735	hft
	en_ga	en	en_hft_0.75k	750	3.060133934021	2.06018352508545	hft
	en_ga	en	en_hft_1.5k	1500	7.41502213478088	2.21665334701538	hft
	en_ga	en	en_hft_3.0k	3000	18.077742099762	2.42400503158569	hft
	en_ga	en	en_hft_4.0k	4000	28.583660364151	2.51830172538757	hft
	en_ga	en	en_hft_6.0k	6000	50.4875683784485	2.81585264205933	hft
	en_ga	en	en_hft_8.0k	8000	80.3455829620361	2.75487017631531	hft
	en_ga	ga	ga_hft_0.5k	500	2.56955623626709	2.35592865943909	hft
	en_ga	ga	ga_hft_0.75k	750	4.24840593338013	2.61995816230774	hft
	en_ga	ga	ga_hft_1.5k	1500	10.6189963817596	2.68190145492554	hft
	en_ga	ga	ga_hft_3.0k	3000	27.3754997253418	2.93318676948547	hft
	en_ga	ga	ga_hft_4.0k	4000	38.8452787399292	2.97122669219971	hft
	en_ga	ga	ga_hft_6.0k	6000	63.4953863620758	3.00284337997437	hft
	en_ga	ga	ga_hft_8.0k	8000	89.9870848655701	3.14497137069702	hft
	en_mr	en	en_char_0.141k	141	0.103971719741821	2.20470809936523	char
	en_mr	mr	mr_char_0.141k	141	0.112520694732666	2.43797302246094	char
	en_mr	en	en_unigram_0.5k	500	1.96332669258118	1.69177770614624	unigram
	en_mr	en	en_unigram_0.75k	750	1.87895655632019	1.63550090789795	unigram
	en_mr	en	en_unigram_1.5k	1500	1.74854755401611	1.53950095176697	unigram
	en_mr	en	en_unigram_3.0k	3000	1.65106797218323	1.47090435028076	unigram
	en_mr	en	en_unigram_4.0k	4000	1.60558986663818	1.7049663066864	unigram
	en_mr	en	en_unigram_6.0k	6000	1.69999170303345	1.73233962059021	unigram
	en_mr	en	en_unigram_8.0k	8000	1.41019439697266	1.8108274936676	unigram
	en_mr	mr	mr_unigram_0.5k	500	3.35969519615173	1.9054708480835	unigram
	en_mr	mr	mr_unigram_0.75k	750	2.61356282234192	1.71960210800171	unigram
	en_mr	mr	mr_unigram_1.5k	1500	2.45412421226501	1.28864359855652	unigram
	en_mr	mr	mr_unigram_3.0k	3000	2.30668544769287	1.12431025505066	unigram
	en_mr	mr	mr_unigram_4.0k	4000	2.25877213478088	1.38804197311401	unigram
	en_mr	mr	mr_unigram_6.0k	6000	2.69290494918823	2.02501487731934	unigram
	en_mr	mr	mr_unigram_8.0k	8000	2.25239157676697	1.92069602012634	unigram
	en_mr	en	en_bpe_0.5k	500	0.683095216751099	2.53432488441467	bpe
	en_mr	en	en_bpe_1.0k	1000	0.628785371780396	2.53114867210388	bpe
	en_mr	en	en_bpe_2.0k	2000	0.710434436798096	2.58502745628357	bpe
	en_mr	en	en_bpe_4.0k	4000	0.848131895065308	2.62042307853699	bpe
	en_mr	en	en_bpe_8.0k	8000	1.15308570861816	2.65874886512756	bpe
	en_mr	en	en_bpe_16.0k	16000	1.88512873649597	2.89960336685181	bpe
	en_mr	en	en_bpe_32.0k	32000	3.10722351074219	2.85969281196594	bpe
	en_mr	mr	mr_bpe_0.5k	500	0.925594568252564	2.88143634796143	bpe
	en_mr	mr	mr_bpe_1.0k	1000	1.01919269561768	3.04908561706543	bpe
	en_mr	mr	mr_bpe_2.0k	2000	1.32805252075195	2.74012780189514	bpe
	en_mr	mr	mr_bpe_4.0k	4000	1.70348334312439	2.91856217384338	bpe
	en_mr	mr	mr_bpe_8.0k	8000	2.47178220748901	3.04023003578186	bpe
	en_mr	mr	mr_bpe_16.0k	16000	4.84833216667175	2.81424331665039	bpe
	en_mr	mr	mr_bpe_32.0k	32000	10.476167678833	3.00264716148376	bpe
	en_mr	en	en_hft_0.5k	500	3.60617423057556	5.79146146774292	hft
	en_mr	en	en_hft_0.75k	750	5.04256415367126	5.95674443244934	hft
	en_mr	en	en_hft_1.5k	1500	12.9279742240906	6.4831805229187	hft
	en_mr	en	en_hft_3.0k	3000	32.7763910293579	6.96492314338684	hft
	en_mr	en	en_hft_4.0k	4000	46.0771477222443	6.98042464256287	hft
	en_mr	en	en_hft_6.0k	6000	75.6104345321655	7.1843318939209	hft
	en_mr	en	en_hft_8.0k	8000	108.90301823616	7.29169702529907	hft
	en_mr	mr	mr_hft_0.5k	500	4.31460428237915	5.61529731750488	hft
	en_mr	mr	mr_hft_0.75k	750	6.84190201759338	6.06109642982483	hft
	en_mr	mr	mr_hft_1.5k	1500	16.1663687229157	6.47289562225342	hft
	en_mr	mr	mr_hft_3.0k	3000	37.5702133178711	6.75350761413574	hft
	en_mr	mr	mr_hft_4.0k	4000	52.481347322464	7.11117696762085	hft
	en_mr	mr	mr_hft_6.0k	6000	83.307986497879	7.10899090766907	hft
	en_mr	mr	mr_hft_8.0k	8000	115.608410358429	7.35850238800049	hft
	en_hi	en	en_char_0.785k	785	5.4905104637146	90.4436159133911	char
	en_hi	hi	hi_char_0.785k	785	5.88103365898132	104.711044788361	char
	en_hi	en	en_unigram_0.5k	500	83.2401428222656	128.699025630951	unigram
	en_hi	en	en_unigram_0.75k	750	88.682343006134	135.980235338211	unigram
	en_hi	en	en_unigram_1.5k	1500	82.1473665237427	126.690909385681	unigram
	en_hi	en	en_unigram_3.0k	3000	82.6979174613953	135.841848373413	unigram
	en_hi	en	en_unigram_4.0k	4000	89.6457052230835	128.861554384232	unigram
	en_hi	en	en_unigram_6.0k	6000	88.2270214557648	127.805258989334	unigram
	en_hi	en	en_unigram_8.0k	8000	90.6580274105072	135.945043563843	unigram
	en_hi	hi	hi_unigram_0.5k	500	79.7605619430542	85.8548114299774	unigram
	en_hi	hi	hi_unigram_0.75k	750	79.9528102874756	81.8243312835693	unigram
	en_hi	hi	hi_unigram_1.5k	1500	79.5474638938904	77.3359286785126	unigram
	en_hi	hi	hi_unigram_3.0k	3000	77.705317735672	72.3924841880798	unigram
	en_hi	hi	hi_unigram_4.0k	4000	76.016402721405	70.7830262184143	unigram
	en_hi	hi	hi_unigram_6.0k	6000	75.713226556778	73.4445643424988	unigram
	en_hi	hi	hi_unigram_8.0k	8000	75.5643782615662	72.4924705028534	unigram
	en_hi	en	en_bpe_0.5k	500	20.0660006999969	132.512966156006	bpe
	en_hi	en	en_bpe_1.0k	1000	21.2297134399414	129.184993028641	bpe
	en_hi	en	en_bpe_2.0k	2000	21.832245349884	120.744548797607	bpe
	en_hi	en	en_bpe_4.0k	4000	24.145161151886	128.45089006424	bpe
	en_hi	en	en_bpe_8.0k	8000	27.8097262382507	136.97882771492	bpe
	en_hi	en	en_bpe_16.0k	16000	40.3654203414917	138.165730714798	bpe
	en_hi	en	en_bpe_32.0k	32000	69.3681015968323	135.029373407364	bpe
	en_hi	hi	hi_bpe_0.5k	500	21.4538249969482	138.374757528305	bpe
	en_hi	hi	hi_bpe_1.0k	1000	23.8175332546234	132.580823421478	bpe
	en_hi	hi	hi_bpe_2.0k	2000	25.1879231929779	135.984688997269	bpe
	en_hi	hi	hi_bpe_4.0k	4000	28.1804316043854	140.965608596802	bpe
	en_hi	hi	hi_bpe_8.0k	8000	35.404598236084	141.309329748154	bpe
	en_hi	hi	hi_bpe_16.0k	16000	59.8943877220154	151.245084762573	bpe
	en_hi	hi	hi_bpe_32.0k	32000	112.268789768219	149.087747097015	bpe
	en_hi	hi	hi_hft_0.5k	500	56.7148103713989	287.749422550201	hft
	en_hi	hi	hi_hft_0.75k	750	66.0712096691132	311.932533979416	hft
	en_hi	hi	hi_hft_1.5k	1500	125.191790103912	329.997655153275	hft
	en_hi	hi	hi_hft_3.0k	3000	258.209535121918	354.204426527023	hft
	en_hi	hi	hi_hft_4.0k	4000	358.579618930817	355.679266214371	hft
	en_hi	hi	hi_hft_6.0k	6000	542.869564771652	358.059819221497	hft
	en_hi	hi	hi_hft_8.0k	8000	708.485359430313	396.158452272415	hft
	en_hi	en	en_hft_0.5k	500	56.439612865448	282.596974372864	hft
	en_hi	en	en_hft_0.75k	750	54.6454427242279	279.937672376633	hft
	en_hi	en	en_hft_1.5k	1500	120.823594808579	342.546541929245	hft
	en_hi	en	en_hft_3.0k	3000	277.498164653778	366.797996997833	hft
	en_hi	en	en_hft_4.0k	4000	406.708613872528	379.904641151428	hft
	en_hi	en	en_hft_6.0k	6000	690.212651968002	405.666169404984	hft
	en_hi	en	en_hft_8.0k	8000	961.395059108734	402.285756349564	hft
